# uzlezz-bench v1
# scenario=burst
# loading=async
# vsync=0
# warmup_frames=300
# batch_textures=12
# batch_failed=0
# batch_from_cache=0
# batch_bytes=16838877
# batch_ms=119.166
# complete=1
# exit_during_load=0
# upload_budget_ms=4
frame,phase,frame_ms,main_load_ms
414,load,0.8489,0.0000
415,load,0.4857,0.0000
416,load,0.5025,0.0000
417,load,0.8156,0.0000
418,load,5.6631,5.1475
419,load,0.6554,0.0000
420,tail,1.0837,0.0000
421,tail,0.6927,0.0000
422,tail,0.5982,0.0000
423,tail,0.4810,0.0000
424,tail,0.6168,0.0000
425,tail,0.6570,0.0000
426,tail,0.5155,0.0000
427,tail,0.7574,0.0000
428,tail,0.6227,0.0000
429,tail,0.8425,0.0000
430,tail,0.4195,0.0000
431,tail,0.4084,0.0000
432,tail,0.4058,0.0000
433,tail,0.4546,0.0000
434,tail,0.4233,0.0000
435,tail,0.4087,0.0000
436,tail,0.4362,0.0000
437,tail,0.4622,0.0000
438,tail,0.4512,0.0000
439,tail,0.5543,0.0000
440,tail,0.5114,0.0000
441,tail,0.5023,0.0000
442,tail,0.4205,0.0000
443,tail,0.9307,0.0000
444,tail,0.4284,0.0000
445,tail,0.4098,0.0000
446,tail,0.4268,0.0000
447,tail,0.4143,0.0000
448,tail,0.3976,0.0000
449,tail,0.5165,0.0000
450,tail,0.7599,0.0000
451,tail,0.7058,0.0000
452,tail,0.5720,0.0000
453,tail,0.6252,0.0000
454,tail,0.4422,0.0000
455,tail,0.4138,0.0000
456,tail,0.4456,0.0000
457,tail,0.4877,0.0000
458,tail,0.8670,0.0000
459,tail,0.4285,0.0000
460,tail,0.4077,0.0000
461,tail,1.0142,0.0000
462,tail,0.5325,0.0000
463,tail,0.5036,0.0000
464,tail,0.4981,0.0000
465,tail,0.6268,0.0000
466,tail,0.6664,0.0000
467,tail,0.6275,0.0000
468,tail,0.5508,0.0000
469,tail,0.7140,0.0000
470,tail,0.5074,0.0000
471,tail,0.4746,0.0000
472,tail,0.6028,0.0000
473,tail,0.6962,0.0000
474,tail,0.5854,0.0000
475,tail,0.7544,0.0000
476,tail,0.9123,0.0000
477,tail,0.6298,0.0000
478,tail,0.5198,0.0000
479,tail,0.4870,0.0000
480,tail,0.5065,0.0000
481,tail,0.7610,0.0000
